Country,Latitude,Longitude,index
MP,15.2,145.75,0.185422793265
MQ,14.6667,61,0.209156056263
MR,18.06667,-15.9667,0.264897356586
MS,16.7,-62.2167,0.171608769854
MT,35.88333,14.5,0.118090541833
MU,-20.15,57.48333,0.229004467778
MV,4.166667,73.5,0.236302795775
MW,-13.9667,33.78333,0.0872653587501
MX,19.43333,-99.1333,0.121384559346
MY,3.166667,101.7,0.193337083716
MZ,-25.95,32.58333,0.153475982001
NA,-22.5667,17.08333,0.162725179104
NC,-22.2667,166.45,0.444801032794
NE,13.51667,2.116667,0.254657373658
NF,-29.05,167.9667,0.486786245537
NG,9.083333,7.533333,0.235585301471
NI,12.13333,-86.25,0.145291245835
NL,52.35,4.916667,0.0623587836132
NO,59.91667,10.75,0.0960369619857
NP,27.71667,85.31667,0.097218726842
NR,-0.5477,166.9209,0.327429497769
NU,-19.0167,-169.917,0.50011203311
NZ,-41.3,174.7833,0.569591749197
OM,23.61667,58.58333,0.176980405866
PA,8.966667,-79.5333,0.157887558084
PE,-12.05,-77.05,0.24610790471
PF,-17.5333,-149.567,0.421750373269
PG,-9.45,147.1833,0.334076338327
PH,14.6,120.9667,0.1160471474
PK,33.68333,73.05,0.0786247711348
PL,52.25,21,0.0827610892686
PM,46.76667,-56.1833,0.156289837906
PN,-25.0667,-130.083,-0.565189178926
PR,18.46667,-66.1167,0.146807331253
PS,31.76667,35.23333,0.202245373249
PT,38.71667,-9.13333,0.140839814497
PW,7.483333,134.6333,0.206518001108
PY,-25.2667,-57.6667,0.117064266232
QA,25.28333,51.53333,0.200808920963
RE,-21.1144,55.5325,0.220161813011
RO,44.43333,26.1,0.120225430147
RS,44.83333,20.5,0.0972996574929
RU,55.75,37.6,0.0543592823296
RW,-1.95,30.05,0.103494512643
SA,24.65,46.7,0.22545734075
SB,-9.43333,159.95,0.356965563313
SC,-4.61667,55.45,0.213192206924
SD,15.6,32.53333,0.212617552188
SE,59.33333,18.05,0.0990183157251
SG,1.283333,103.85,0.197404107322
SH,-15.9333,-5.71667,0.272173963245
SI,46.05,14.51667,0.0721119163433
SJ,78.21667,15.63333,0.200570127264
SK,48.15,17.11667,0.0770779844691
SL,8.483333,-13.2333,0.311610820366
SM,43.93333,12.41667,0.071030251768
SN,14.73333,-17.6333,0.287743767491
SO,2.066667,45.33333,0.174092629416
SR,5.833333,-55.1667,0.242712157828
SS,4.85,31.61667,-0.845878500833
ST,0.333333,6.733333,0.210745262249
SV,13.7,-89.2,0.144979730101
SX,18.01667,-63.0333,-0.82874000772
SY,33.5,36.3,0.191323823859
SZ,-26.3167,31.13333,0.154824969704
TC,21.46667,-71.1333,0.111780034425
TD,12.1,15.03333,0.218380149868
TF,-49.35,70.21667,-0.618377375332
TG,6.116667,1.216667,0.257027265262
TH,13.75,100.5167,0.149879939939
TJ,38.55,68.76667,0.0909775090954
TK,-9.16667,-171.833,0.449630367087
TL,-8.58333,125.6,-0.734224837165
TM,37.95,58.38333,0.140667772203
TN,36.8,10.18333,0.107378633919
TO,-21.1333,-175.2,0.493065705098
TR,39.93333,32.86667,0.15378843899
TT,10.65,-61.5167,0.197727368178
TV,-8.51667,179.2167,0.411239252987
TW,25.03333,121.5167,0.0988835015454
TZ,-6.8,39.28333,0.113839657356
UA,50.43333,30.51667,0.096381317453
UG,0.316667,32.55,0.119403989743
UM,38.883333,-77,0.0562240810944
US,38.883333,-77,0.0632466041144
UY,-34.85,-56.1667,0.140719430873
