CountryCode,Latitude,Longitude,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,
BF,12.36667,-1.51667,7278.54716207,7259.42143219,7270.89855695,7194.7978501,7279.89020685,6931.59153207,7021.0889715,6955.95403247,5455.6309901,5341.28009734,4926.4028452,4933.86964284,5021.77108116,6023.05648022,5154.17111538,5165.63523998,5271.06248743,5922.62480067,5879.20254449,5027.9709403,2894.64990253,2671.63235234,2583.65247058,2487.69897918,2857.41049417,2649.4072925,2875.39916388,2530.9440557,2705.46979266,2843.55503298,2371.94392563,3653.81111828,3930.41687238,8261.12763241,7468.92887413,7068.68682494,234.664166362,2658.4438509,10384.7299522,4467.54138308,
BG,42.68333,23.31667,6492.12607753,6470.23448718,6490.83163283,6605.05651807,6490.91780711,5855.48968388,5993.7734348,5958.24387998,5193.91451394,5458.38183386,4927.03479925,4928.82296371,2780.1833853,6098.87042574,5662.43387395,5238.34643652,3106.61708748,5751.93816809,5511.6307733,4796.98594604,820.411964306,863.489575417,681.956320496,788.756250481,1058.37181156,1060.37796512,1059.42041061,1092.23344752,1252.14777192,1537.25192479,726.356813695,1105.10610813,6376.14736546,5701.22243621,5231.06879186,4568.30031525,2795.0446367,3664.49703018,9203.06839036,6090.02736949,
BH,26.23333,50.56667,8015.04724181,7994.86794486,8017.16502714,8207.5883114,8012.71199437,7315.6376778,7460.96910639,7446.48599961,7030.75873564,7347.40503379,6817.33185087,6818.44292558,1659.31179741,7959.08532127,7572.12010325,7128.23409031,1823.99110816,7577.88664907,7302.41227847,6659.41023188,2640.71389256,2755.27550592,2584.03465516,2698.22914881,2918.15403565,2960.54325682,2914.14581834,3001.23105181,3150.813591,3429.60095382,2631.3764932,2140.31582799,7340.5177604,5139.92790446,3976.44247919,3839.15465252,3725.59189604,2859.24902022,7508.10372563,7785.08807016,
BI,-3.36667,29.35,9470.98273122,9449.56857815,9465.95204854,9465.13356345,9471.17994299,8946.42650366,9070.16289656,9019.80617507,7749.66982334,7705.05823497,7259.44908342,7266.08493202,4084.26233866,8395.95857993,7535.00667027,7518.84366273,4152.51830017,8256.31303515,8161.96975747,7311.23143281,3972.18933135,3894.61776396,3716.85280766,3725.76104459,4126.86336418,4012.04911419,4136.3852802,3955.46805434,4168.66826006,4426.35952856,3594.51949355,4111.44102839,5238.06979257,7491.22352795,5976.51682085,6210.70263716,2473.83703042,460.481784611,8006.20484969,6595.33277921,
BJ,6.483333,2.616667,7765.07896432,7746.21412053,7757.23454997,7672.631487,7766.51372269,7426.02671109,7515.04937313,7449.70156506,5935.41829636,5798.46334826,5398.41790839,5406.12166712,5031.35348327,6471.12080297,5578.87350471,5629.15810375,5246.5233002,6391.27390655,6359.69423502,5510.86019723,3238.73273536,3035.1894858,2925.50710346,2846.50440411,3236.59216508,3038.77987087,3253.62281579,2927.75812179,3114.81536999,3276.38490097,2722.13064586,3906.2837078,3915.56171699,8406.56548205,7404.0118116,7156.1492886,513.490785503,2201.9196744,9930.63985492,4735.05002212,
BL,17.88333,-62.85,3801.5589529,3791.47250743,3790.61367996,3572.55728807,3804.81032852,3900.61848898,3893.03791758,3822.38654222,2209.07199157,1724.43512953,1696.48214743,1705.87949237,7800.4157469,2203.46420864,1238.03180743,1689.39251087,8151.80818843,2350.34447661,2531.22156507,2027.5179861,4668.90409361,4463.4280545,4592.28763301,4452.11900817,4387.028774,4256.69428314,4399.38439858,4173.49305022,4091.35883198,3869.29805458,4481.6162467,5596.18647113,3064.6756038,8452.55597204,9654.6191612,8442.89641744,3968.95672736,6614.63508177,10273.5285245,1118.03031698,
BM,32.28333,-64.7833,3219.01748773,3204.12930014,3209.21218741,3058.87998111,3221.4818533,3147.14483513,3171.62700045,3098.89640831,1418.56708386,1138.71289218,841.577739285,851.203167358,7030.25462689,1813.31877911,1033.25268681,988.966357775,7377.38421432,1757.48788679,1816.69415204,1117.34397808,4010.1684299,3845.66865563,4002.82418797,3878.88239655,3721.89557937,3635.74759493,3730.65810286,3579.28814425,3452.11541788,3192.81253677,3939.00089805,4847.92414704,4039.43929194,7480.68482413,8666.32540449,7447.69946404,4149.54127202,6863.24938049,10278.4713398,2093.87090267,
BN,4.883333,114.9333,7758.47734305,7760.58728285,7769.69602986,8053.13215442,7754.51167818,7426.07579596,7479.40154272,7540.62510928,8908.69543939,9483.72080072,9307.8864574,9299.73656693,3306.18879345,9313.15431253,10087.8479256,9423.36572376,2968.97904758,8984.16469776,8703.51414008,8963.15076005,6431.67540429,6668.52838478,6576.50499802,6725.39529375,6693.8650523,6860.75695925,6678.60501281,6965.63350471,6999.60583736,7176.88545616,6730.48322506,5447.56537885,10656.1363631,2647.27303591,1202.94572727,2422.25878435,8110.35180185,5933.61482462,3131.40546152,11956.8621626,
BO,-16.5,-68.15,5111.20857123,5113.25457151,5100.45896813,4800.48860476,5115.32193343,5548.09217473,5473.03433095,5419.29841937,4219.24246491,3633.37484878,3877.40957185,3884.87353135,9837.37199126,3674.86775273,3031.38560158,3725.33294258,10151.7753575,4057.05099425,4366.65824672,4219.91964165,6772.32406478,6527.0710764,6604.08191827,6454.29855439,6520.06526738,6342.50719872,6536.15953658,6231.49706332,6214.25296043,6052.78794622,6436.26281185,7767.46919183,1477.19244014,10273.5163416,12009.8054988,10796.0945529,4750.36458899,6553.48593714,8587.394811,1286.61592668,
BQ,12.1833,-68.25,3737.40369935,3730.65974787,3726.14030324,3475.48193249,3741.02840865,3948.68863003,3917.9365432,3851.01032932,2359.77643268,1804.24894801,1932.03187322,1940.35785409,8328.11095127,2119.88621087,1219.97465608,1836.45188744,8679.53429829,2367.88961026,2610.58371724,2276.60224031,5201.66129941,4997.04533916,5125.82608041,4985.43181622,4919.21849513,4790.20119339,4931.40576659,4707.1655967,4624.30476872,4400.05372159,5013.88518877,6123.22944017,2868.76172604,8659.81922981,10050.0721535,8824.75976201,4349.03486357,6913.86901206,9791.30095492,720.266627305,
BR,-15.7833,-47.9167,6046.30413038,6042.90282216,6035.02151325,5758.00273386,6050.19559365,6323.73600108,6285.28948478,6220.32730828,4719.46615421,4181.0163758,4233.01811088,4242.29696559,8729.11485572,4459.35712697,3599.93098473,4193.11536832,8990.7639208,4744.25571093,4990.39017902,4566.05454909,5959.42102159,5698.48869356,5727.99343762,5582.50792882,5754.53453374,5547.61057654,5772.99594544,5421.79466896,5463.5709438,5376.88119416,5531.33549472,6945.56661947,543.071255765,10984.0887463,11185.2082328,10520.0758241,3492.55526983,5236.02575458,9371.42221158,1742.18466622,
BS,25.08333,-77.35,2747.75028717,2738.1071075,2736.74744545,2517.16274297,2751.05546371,2890.98111367,2869.57531445,2800.74745974,1299.4844616,733.332862206,958.398358634,964.594697904,7818.90238087,1149.96296667,184.68387651,788.004169739,8156.60383763,1315.67808521,1540.78513293,1291.47429938,4889.77004394,4737.22535958,4899.07311701,4778.53559616,4602.24228733,4528.12291796,4609.8362664,4477.19574232,4341.79381801,4075.16686794,4842.47898766,5681.25454332,3939.48093078,7591.65929586,9074.43175856,7859.41783562,4890.50917029,7590.06264956,9488.73008654,1765.10688721,
BT,27.46667,89.63333,7506.30264787,7495.43023292,7514.65915024,7811.08033921,7502.39020555,6881.90819787,7000.61473982,7030.05806549,7645.32049179,8188.70125878,7771.2390703,7766.85019482,1026.83527531,8468.98807133,8696.60623929,8020.32535462,688.383980864,8018.61296395,7675.71134413,7470.75981889,4171.4368472,4399.70138654,4299.6701072,4447.89007748,4443.23824747,4597.21696207,4429.21963184,4696.59634504,4746.479873,4947.06481378,4449.87335867,3211.63230052,9709.97586454,2968.35370835,1576.68012978,1752.02501045,6120.53441301,4753.54933767,5410.42566567,9834.77244756,
BV,-54.43,3.38,9648.60907042,9653.11741163,9638.33971705,9333.70427254,9652.74034314,10092.1409711,10026.3398857,9969.95803232,8526.70352894,7991.83554076,8015.36148713,8024.94432536,7628.07049158,8202.94321286,7404.75252954,8001.1046248,7551.40013077,8535.79915495,8798.54332808,8332.98526998,7411.59254443,7230.01059365,7102.49276238,7039.95568186,7439.85767425,7246.5829135,7456.28384758,7136.67259888,7322.34575831,7467.12674503,6910.59875521,7854.83640546,3324.27322788,9997.36435541,8288.75585685,9267.48609345,4472.4829882,3399.59404489,6600.89632999,5516.63015704,
BW,-24.6333,25.9,10359.4880094,10343.3794786,10350.1059961,10194.5962126,10361.7003025,10086.3893861,10173.0443828,10106.39697,8519.0263187,8262.33426173,7951.864568,7960.57680998,5353.19447306,8848.12597148,7883.70213178,8132.94415292,5341.71255188,8898.42811682,8939.83843286,8116.8041869,5383.85155692,5271.51144425,5105.72456321,5090.78341129,5502.76472026,5358.71555292,5514.74182882,5281.85809804,5493.21061911,5722.3467191,4956.30295137,5596.71125068,4517.10609637,8480.76469518,6745.24025328,7314.41806659,3128.48176712,1046.3607945,7365.47545459,6395.2795309,
BY,53.9,27.56667,5874.88857034,5853.48305659,5875.04413381,6026.07025672,5873.18511079,5205.42162727,5348.05361143,5320.48136445,4795.7805902,5153.40712203,4632.10063966,4631.93929295,2563.70020215,5730.37344033,5464.17581243,4938.3223503,2913.96461419,5337.65031687,5058.7962546,4441.54766027,593.606044525,841.608043656,798.89867829,943.609790438,860.014396444,1023.47558077,846.236308011,1134.89253325,1163.54692319,1373.46217002,1002.60956499,419.503992243,6917.84955228,5048.979946,4851.049337,4017.30627754,3496.31351991,4417.36952297,8905.61239008,6251.78415386,
BZ,17.25,-88.7667,2452.51259217,2450.45703762,2441.29377816,2159.65407998,2456.47811483,2828.0286531,2758.58245269,2702.23759928,1699.99737233,1172.21856052,1649.90133127,1651.84504425,8568.72875426,959.726552418,805.406530292,1363.35520683,8886.94918061,1376.41035521,1711.16880046,1907.71026906,5770.11253128,5629.74437171,5795.97526453,5679.17621128,5484.42760984,5421.95467481,5490.89534545,5376.5294607,5233.56538444,4961.24559126,5747.17972433,6510.47623608,4003.49482677,7598.24019316,9295.83634027,8167.75437454,5673.22272955,8310.0098996,8639.33287032,1870.58123331,
CA,45.41667,-75.7,2431.53158748,2412.65519916,2423.73237243,2361.83834489,2432.95569819,2188.92967231,2243.18006747,2172.10580389,647.601593555,927.852828927,454.357147775,449.698736196,6485.07978736,1518.39827515,1379.94275913,724.047800147,6809.56413387,1197.99741591,1050.12644215,217.334030349,3807.69510468,3717.32411968,3899.96923584,3809.56622473,3535.64603389,3522.94174491,3538.16029739,3510.2010758,3331.48319434,3044.54544135,3905.30990855,4448.43741484,5103.71872894,6414.04442383,7718.43871691,6493.47654283,4841.94650973,7469.24743131,9547.76309676,3057.13271993,
CC,-12.1667,96.83333,9471.24957532,9473.24040712,9482.46288876,9765.18198564,9467.27965913,9106.95150186,9171.92452513,9229.73310591,10368.7582447,10943.1990591,10551.8159308,10547.4118758,3648.21830942,10991.0237524,11477.0034469,10793.2391417,3311.5499135,10605.443484,10285.3490902,10246.5294234,6612.49555191,6780.4062555,6627.33037843,6755.34765983,6900.77391624,6990.56686765,6891.97143372,7051.8452846,7172.538261,7429.90468961,6703.07537924,5792.56320847,8946.33698127,4329.77813994,2654.07800411,3811.16861876,7086.5169968,4522.86084242,3570.06318857,11067.5238771,
CD,-4.31667,15.3,8910.01151347,8890.7924018,8902.42420187,8822.50594954,8911.3226038,8534.70489322,8632.77545571,8570.00658677,7084.88780247,6940.38738873,6547.85199964,6555.60321767,4821.35100109,7604.05212176,6690.3463219,6775.22865069,4945.77664649,7539.32830498,7509.00086576,6659.01818154,3928.41181941,3781.67088095,3630.9896401,3594.54120897,4007.52274109,3843.87632715,4021.40720549,3755.81284715,3963.11514663,4176.48182158,3460.29376816,4339.68835342,4325.40984297,8297.16485567,6898.23955561,6996.62825843,1656.19359819,1081.11426779,8785.06684459,5629.89067757,
CF,4.366667,18.58333,8602.63552663,8581.82260956,8596.6494794,8571.09597452,8603.23379913,8135.50327043,8248.54144337,8192.12409347,6843.78565756,6789.66498248,6346.03467448,6352.78260142,4256.25512674,7481.28033354,6631.39688172,6603.62931095,4409.82464514,7343.73235888,7259.67128294,6406.5692916,3340.09755454,3213.30429154,3052.39854367,3030.48998689,3443.43628452,3295.72938596,3455.97056452,3219.028985,3430.75386014,3664.8607825,2895.83128405,3703.36224444,4791.28361053,7735.54514389,6460.16623939,6435.97106138,1595.50012781,1266.00819689,8916.43676646,5834.89360436,
CG,-4.25,15.28333,8905.8901503,8886.66285894,8898.30926784,8818.63360736,8907.19824475,8530.2164282,8628.34004797,8565.59052807,7080.95407006,6936.88393606,6544.07114981,6551.81804536,4819.12532192,7600.74432424,6687.32771218,6771.60843337,4943.92801511,7535.63650191,7505.05261641,6655.01274421,3923.77890921,3776.97944515,3626.3273123,3589.84236588,4002.81974256,3839.14892037,4016.70686177,3751.07447355,3958.37278649,4171.73460176,3455.5973818,4335.49313867,4326.26346437,8295.14063309,6897.58776813,6994.5561094,1652.51934193,1083.91792518,8788.70701901,5628.52861103,
CH,46.91667,7.466667,5830.07580685,5808.05719003,5827.3826407,5907.10967956,5829.37395586,5239.95638711,5370.59825138,5326.66454308,4408.32967339,4643.48219579,4112.60348491,4114.79923306,3478.08386297,5296.43684091,4834.34437339,4423.44459444,3820.22779558,4967.82237401,4746.92061754,3999.62635637,468.241292233,227.995787379,208.912977553,59.6561107554,437.058298347,292.043022098,452.162197547,272.229725497,466.55888951,750.958879946,129.52332683,1422.51975516,5919.80769119,6007.61367566,5841.0879387,5017.12805716,2637.91392702,4170.68007739,9889.46253774,5341.29744846,
CI,6.816667,-5.26667,7357.61386174,7339.92094785,7349.02879798,7238.2264066,7359.41219535,7084.07439588,7160.10364976,7091.71816324,5514.87525075,5333.27880323,4961.43150994,4969.61051102,5453.0563307,5991.18229837,5078.81876504,5174.76094443,5690.80395132,5942.72582187,5939.04330007,5102.08223426,3329.47881942,3098.61914335,3021.03906094,2918.24447488,3274.3978546,3061.31449836,3292.85520223,2938.60692649,3101.77728407,3215.47622009,2807.16445147,4110.83841855,3491.14469152,8721.59840661,7876.17264195,7522.30053457,236.369091874,2690.68150792,10375.7864098,4194.49411921,
CK,-21.2,-159.767,4732.33282216,4754.19983287,4736.13372816,4692.74034012,4732.61888637,5291.44234039,5164.44123308,5211.87452436,6327.30407712,6239.14506881,6741.38241724,6736.5532375,8951.34815041,5541.13455227,6238.54445637,6448.70269596,8717.92574741,5782.42195568,5941.61515293,6762.65389447,10242.375702,10341.8810422,10514.7245088,10514.7456503,10109.3538713,10230.5632517,10098.8755543,10286.7952568,10073.778722,9812.69421181,10646.9440055,9887.12744672,6980.3864046,5576.66869695,6526.65728284,6836.23008335,10651.7517473,10181.4467917,3185.59610518,6510.96461864,
CL,-33.45,-70.6667,5906.36671459,5913.23651272,5896.67015649,5591.59541945,5910.46451828,6448.98686301,6350.98930151,6308.02444937,5312.83829978,4728.08204407,5020.93908039,5027.8477903,10547.4632995,4656.31401731,4139.80240983,4843.3044966,10748.6687004,5075.49549783,5404.52082032,5358.92515767,7781.93962706,7525.00723952,7571.70852066,7423.75381879,7554.17554266,7358.72172534,7571.69088538,7238.15169626,7253.10213466,7125.19132833,7382.36464877,8780.43668029,1606.32154206,10709.978491,11610.5141979,11843.7292059,5300.72444072,6441.69200981,7594.41796437,2468.16400486,
CM,3.866667,11.51667,8317.35665206,8297.5412292,8310.27836891,8250.30630163,8318.435014,7917.6616867,8018.64017404,7957.05221331,6511.16036069,6408.07915667,5989.49019888,5996.80906369,4655.40360077,7088.87281694,6209.41691824,6231.86231438,4831.66309509,6986.87898153,6933.17667996,6079.6175757,3363.09118237,3199.85244619,3058.5302622,3010.76669795,3421.32119429,3248.63932927,3436.07412112,3155.17168983,3359.58321199,3564.63927308,2877.7422525,3865.34848592,4345.27152679,8117.15514889,6921.79503488,6826.7353005,1144.98731296,1592.52226774,9318.97150808,5348.86844058,
